system_id,date,pr,avg_ac_power_kw
34,2020-01-01,inf,21.381249999999998
34,2020-01-02,inf,18.604166666666664
34,2020-01-03,inf,16.040625000000002
34,2020-01-04,inf,16.413541666666667
34,2020-01-05,inf,16.802083333333332
34,2020-01-06,inf,18.440625
34,2020-01-07,inf,18.226041666666664
34,2020-01-08,inf,18.898958333333333
34,2020-01-09,inf,16.75625
34,2020-01-10,inf,19.309375
34,2020-01-11,inf,19.152083333333334
34,2020-01-12,inf,17.494791666666668
34,2020-01-13,inf,18.838541666666668
34,2020-01-14,inf,18.768749999999997
34,2020-01-15,inf,17.926041666666666
34,2020-01-16,inf,19.140625
34,2020-01-17,inf,18.282291666666666
34,2020-01-18,inf,17.597916666666666
34,2020-01-19,inf,17.257291666666667
34,2020-01-20,inf,7.684374999999999
34,2020-01-21,inf,14.927083333333334
34,2020-01-22,inf,18.224999999999998
34,2020-01-23,inf,19.139583333333334
34,2020-01-24,inf,18.416666666666668
34,2020-01-25,inf,17.904166666666665
34,2020-01-26,inf,18.727083333333333
34,2020-01-27,inf,19.881249999999998
34,2020-01-28,inf,8.076470588235294
34,2020-01-29,inf,9.280208333333336
34,2020-01-30,inf,9.285416666666666
34,2020-01-31,inf,9.278125
34,2020-02-01,inf,9.347916666666668
34,2020-02-02,inf,9.960416666666667
34,2020-02-03,inf,11.069791666666667
34,2020-02-04,inf,11.399999999999999
34,2020-02-05,inf,10.454166666666667
34,2020-02-06,inf,9.64375
34,2020-02-07,inf,10.169791666666667
34,2020-02-08,inf,10.278125
34,2020-02-09,inf,6.939583333333334
34,2020-02-10,inf,10.91145833333333
34,2020-02-11,inf,11.664583333333335
34,2020-02-12,inf,11.007291666666667
34,2020-02-13,inf,10.801041666666665
34,2020-02-14,inf,10.998958333333333
34,2020-02-15,inf,10.158333333333333
34,2020-02-16,inf,9.598958333333334
34,2020-02-17,inf,10.579166666666667
34,2020-02-18,inf,10.828124999999998
34,2020-02-19,inf,11.238541666666668
34,2020-02-20,inf,11.525
34,2020-02-21,inf,11.227083333333335
34,2020-02-22,inf,4.889583333333333
34,2020-02-23,inf,11.967708333333334
34,2020-02-24,inf,12.358333333333333
34,2020-02-25,inf,13.319791666666667
34,2020-02-26,inf,12.603124999999999
34,2020-02-27,inf,12.115625
34,2020-02-28,inf,8.55625
34,2020-02-29,inf,8.232291666666665
34,2020-03-01,inf,11.797916666666667
34,2020-03-02,inf,13.183333333333332
34,2020-03-03,inf,13.361458333333331
34,2020-03-04,inf,12.911458333333334
34,2020-03-05,inf,12.556250000000004
34,2020-03-06,0.9853237410436364,12.034375000000002
34,2020-03-07,inf,11.518749999999999
34,2020-03-08,inf,13.689583333333331
34,2020-03-09,inf,12.422916666666667
34,2020-03-10,inf,3.5729166666666665
34,2020-03-11,inf,10.561458333333336
34,2020-03-12,inf,9.15
34,2020-03-13,inf,7.407291666666668
34,2020-03-14,inf,14.606249999999998
34,2020-03-15,inf,12.161458333333334
34,2020-03-16,inf,6.867532467532467
34,2020-03-17,,
34,2020-03-18,,
34,2020-03-19,inf,55.28800000000001
34,2020-03-20,inf,23.483333333333334
34,2020-03-21,inf,26.648958333333336
34,2020-03-22,inf,25.562499999999996
34,2020-03-23,inf,23.033333333333335
34,2020-03-24,inf,33.053124999999994
34,2020-03-25,inf,33.15625000000001
34,2020-03-26,inf,29.620833333333334
34,2020-03-27,inf,32.22291666666667
34,2020-03-28,inf,31.130208333333332
34,2020-03-29,inf,22.63333333333333
34,2020-03-30,inf,32.07083333333333
34,2020-03-31,inf,31.376041666666666
34,2020-04-01,14.597460154549967,31.917708333333334
34,2020-04-02,inf,35.001041666666666
34,2020-04-03,inf,32.03854166666667
34,2020-04-04,inf,32.74166666666667
34,2020-04-05,inf,33.75416666666667
34,2020-04-06,inf,15.259375
34,2020-04-07,inf,24.454166666666666
34,2020-04-08,inf,25.397916666666664
34,2020-04-09,inf,28.34166666666667
34,2020-04-10,inf,18.083333333333336
34,2020-04-11,inf,33.190625000000004
34,2020-04-12,inf,20.738541666666666
34,2020-04-13,inf,18.29605263157895
34,2020-04-14,,
34,2020-04-15,inf,87.36470588235294
34,2020-04-16,29.508710018460143,32.186458333333334
34,2020-04-17,inf,31.355208333333334
34,2020-04-18,inf,26.490625000000005
34,2020-04-19,10.306091488552374,31.909374999999997
34,2020-04-20,12.758331553411292,29.778125000000003
34,2020-04-21,31.997222043724378,31.495833333333334
34,2020-04-22,4.861336085684467,34.202083333333334
34,2020-04-23,4.680378866440965,35.096875000000004
34,2020-04-24,7.551950136487925,34.41979166666666
34,2020-04-25,5.37718486479789,33.31249999999999
34,2020-04-26,4.641090392772323,25.304166666666664
34,2020-04-27,2.7008076078343732,32.830208333333324
34,2020-04-28,2.3622193747126095,33.24791666666666
34,2020-04-29,2.23685331992009,31.72604166666667
34,2020-04-30,2.0838896533820046,29.114583333333332
34,2020-05-01,2.352770897529928,33.588541666666664
34,2020-05-02,2.590281952981238,33.994791666666664
34,2020-05-03,3.329081231346751,34.520833333333336
34,2020-05-04,5.21515285262931,35.46875
34,2020-05-05,3.087105228189377,35.123958333333334
34,2020-05-06,3.0047049306402256,32.65208333333334
34,2020-05-07,2.185402882519306,34.621875
34,2020-05-08,3.4281473158566143,34.635416666666664
34,2020-05-09,1.5409774476592635,33.73229166666666
34,2020-05-10,2.782985131013126,31.854166666666668
34,2020-05-11,3.0133565349860842,36.753125
34,2020-05-12,277.5960069993222,39.822916666666664
34,2020-05-13,14.393863722067293,34.33958333333333
34,2020-05-14,2.4269722706773247,34.83333333333333
34,2020-05-15,2.7878005551604126,34.44999999999999
34,2020-05-16,2.144349929387329,30.916666666666668
34,2020-05-17,2.68874719824913,31.505208333333332
34,2020-05-18,2.3728350818330766,37.06249999999999
34,2020-05-19,111.43881552024645,37.49270833333333
34,2020-05-20,inf,37.77916666666666
34,2020-05-21,9.05763101685816,36.253125000000004
34,2020-05-22,4.693097594794482,35.04479166666667
34,2020-05-23,84.07023653451799,37.047916666666666
34,2020-05-24,12.302120115910027,36.310416666666676
34,2020-05-25,3.845284690174477,37.025000000000006
34,2020-05-26,2.0731708488788025,34.31979166666667
34,2020-05-27,2.5126135689944515,33.153124999999996
34,2020-05-28,1.7606040410506532,32.77708333333334
34,2020-05-29,2.1075984627428985,34.59374999999999
34,2020-05-30,2.1661507976068264,29.420833333333334
34,2020-05-31,2.521103687959625,33.725
34,2020-06-01,2.518676965418712,33.36770833333333
34,2020-06-02,3.701886053556478,25.32708333333333
34,2020-06-03,2.570212344028153,31.598958333333332
34,2020-06-04,2.290516524552122,32.813541666666666
34,2020-06-05,2.1579848183806782,29.73541666666667
34,2020-06-06,10.680560676471012,38.07708333333333
34,2020-06-07,7.295645286052085,37.721875000000004
34,2020-06-08,348.65607189715166,39.05833333333334
34,2020-06-09,4.821888560090755,36.630208333333336
34,2020-06-10,1.6720771087551185,35.546875
34,2020-06-11,2.3884726876291626,34.809375
34,2020-06-12,2.6303555509033747,35.48020833333334
34,2020-06-13,2.7437254590556517,33.965624999999996
34,2020-06-14,2.7349471400519376,35.321875
34,2020-06-15,2.038591202459205,35.07083333333333
34,2020-06-16,2.1429759851436816,36.95104166666667
34,2020-06-17,2.3682044094068977,36.045833333333334
34,2020-06-18,2.611917353800496,35.29479166666666
34,2020-06-19,2.6791962106274125,34.8375
